"Gene","Mean.GT","Median.GT","SEM.GT"
"acrB",-0.114032671666667,-0.0961102655,0.0523251294517035
"arcA",0.108781480916667,0.016004382,0.123611403791226
"aroE",0.138137213916667,0.138752742,0.0742237333128025
"aspA",0.0974114525,0.0434930945,0.125402957193585
"atpC",0.379197462272727,0.444209843,0.0993243215947649
"atpE",0.01614668325,0.025157181,0.0258539678656091
"cpxA",-0.194586051,-0.212919504,0.0892034670525683
"cyaA",0.260330112416667,0.258445119,0.0539467005187755
"cydB",-0.0503284624166667,-0.038524802,0.0527996078823538
"cysE",0.278574121333333,0.156184489,0.144269677749114
"dacA",-0.168161457666667,-0.1771852905,0.0349326163897995
"dapF",-0.0947328904166667,-0.102904469,0.058533606319185
"degP",0.137317625416667,0.0092133195,0.165664957288448
"dnaJ",0.0951866548333333,0.13304932,0.037345557281103
"dnaK",0.00376365783333334,0.124407517,0.0643469477500364
"dnaQ",-0.000539519454545453,-0.155421456,0.0937185001816486
"dsbA",-0.0368792619166667,-0.0911935505,0.127836977696502
"dsbB",-0.08972050125,-0.100470427,0.0465415847619049
"ecnB",0.10884845225,-0.02401539,0.0939722769396078
"elaD",0.0699989825,-0.168106907,0.198569485523043
"exbB",-0.01691496275,-0.0437005285,0.0337494665216587
"exbD",0.1825017615,0.1598431895,0.0428590816349661
"fabF",-0.0547973186666667,-0.109836388,0.0761604532310814
"fepE",0.250254590083333,0.219603895,0.0551612851329619
"fis",-0.515022457583333,-0.6355566035,0.101016461179949
"flgF",0.271228523583333,0.0180689025,0.231106593085189
"fucP",0.0584987560833333,0.040249212,0.0780822176833614
"glnA",0.40503593225,0.359177714,0.111156742081761
"gloB",0.155163903916667,0.09909453,0.0622864420748035
"hda",0.538071780416667,0.4852135045,0.0650598284722014
"hfq",0.966280887636364,1.01953588,0.0541722100017978
"hscA",0.3515488725,0.3617464515,0.0593114233149666
"hypD",-0.0216846374166667,-0.0571576125,0.0360112233441309
"ihfA",-0.2196117745,-0.2663815765,0.120426183184311
"iscS",0.022293352,0.0252630845,0.0347532136005041
"iscU",0.123549974333333,0.0816266355,0.0348444636240907
"livJ",0.389053408333333,0.2482656445,0.167463782110108
"lon",-0.797068963,-0.825427404,0.0491006403732212
"lpcA",-0.83989695125,-0.852607081,0.0222004886819923
"lpp",0.67620972175,0.658828234,0.090552741624557
"nikE",-0.144445843916667,-0.1722764605,0.0364332385299168
"nuoF",0.0577143440833333,0.066236105,0.0801776599053452
"ogrK",-0.0915483011666667,-0.1538109615,0.0551886232592355
"priA",0.0242136714166667,0.1132020655,0.127469392973782
"purA",0.182886943333333,0.1780542975,0.0340122693009378
"qseB",-0.116514195833333,-0.1667116895,0.0508383739650561
"rbfA",0.046819115,-0.0789456725,0.117773968690279
"rfaD",-0.0895256811666667,-0.1440664925,0.0590629994288036
"rfaE",-0.680445978333333,-0.636495615,0.0357249415734498
"rfaG",-0.13424952375,-0.1280956005,0.0325935011558954
"rplA",0.249386088666667,0.0111444115,0.171869592316763
"rseA",0.109173182583333,0.004176681,0.109180168571142
"sdhA",0.0270782330833333,0.0297203275,0.0753592827018926
"secB",-0.0908327121666667,-0.0667575305,0.0497400444660438
"ssnA",0.396216463916667,0.4027849415,0.0317352169269886
"sspA",-0.0746798699166667,-0.097870051,0.0484039532733532
"sucC",0.07874156875,0.1499920685,0.0572993928469688
"sufC",0.556450546333333,0.569254237,0.0459596587076824
"surA",-0.13054741675,-0.20456597,0.111341777026081
"tolC",0.444548675818182,0.489145949,0.161477671349638
"tolQ",-0.179803106833333,-0.2780829065,0.0760555109295957
"tolR",-0.0454872005833333,-0.248532023,0.204844898433536
"trmU",0.0693527216666667,0.0695790245,0.0544232832476884
"ubiE",0.254734125916667,0.210381415,0.0640508194897844
"ubiH",1.26594743433333,1.3165679595,0.0601872039899127
"ubiX",-0.0548960699166667,-0.0280350015,0.0458961268659609
"ulaD",0.0366163608333333,-0.0098780265,0.0650653397176161
"ung",0.07762493925,0.080646125,0.0445253614144877
"uvrD",0.00306199575,-0.039570234,0.108096503858281
"uxuB",-0.372863757666667,-0.405589443,0.0513414085405188
"xerD",-0.0061380645,-0.0044644665,0.0629970909061836
"yaiA",-0.226595327833333,-0.2235461575,0.0452386744303376
"yaiP",-0.00357662991666667,-0.0438507565,0.0578352023468914
"ybaA",0.00645049983333333,-0.033654351,0.101554562567514
"ybaZ",-0.0201427460833333,0.0129284745,0.0497551973105121
"ybfF",-0.127152363,-0.126306207,0.0176963562880094
"ydeE",-0.03854961025,-0.1690702435,0.108090710782162
"ydeS",0.0506904456666667,0.0114924605,0.0612082614341179
"yfdR",-0.1233101195,-0.192942926,0.064288977387004
"ygdE",0.107804030666667,-0.06329418,0.1896286753654
"yraN",-0.06471233325,-0.1242688825,0.0504410229906847
